# node_id   x   y   h
303 -2.48271336e+01 -1.70175560e+01 7.77244050e+00
304 -2.35194413e+01 -1.70175560e+01 7.12592578e+00
305 -2.22117490e+01 -1.70175560e+01 6.48088452e+00
306 -2.09040567e+01 -1.70175560e+01 5.83780600e+00
307 -1.95963644e+01 -1.70175560e+01 5.19742024e+00
308 -1.82886721e+01 -1.70175560e+01 4.56086412e+00
309 -1.69809798e+01 -1.70175560e+01 3.92769091e+00
310 -1.56732875e+01 -1.70175560e+01 3.29453650e+00
311 -1.43655952e+01 -1.70175560e+01 2.66138209e+00
312 -1.30579028e+01 -1.70175560e+01 2.02822768e+00
313 -1.17502105e+01 -1.70175560e+01 1.40287042e+00
314 -1.04425182e+01 -1.70175560e+01 8.08547329e-01
315 -9.13482592e+00 -1.70175560e+01 2.20171274e-01
316 5.24978946e+00 -1.70175560e+01 3.07393510e-01
317 6.55748177e+00 -1.70175560e+01 9.08164500e-01
318 7.86517408e+00 -1.70175560e+01 1.50916080e+00
319 9.17286638e+00 -1.70175560e+01 1.87720451e+00
320 1.04805587e+01 -1.70175560e+01 1.96018526e+00
321 1.17882510e+01 -1.70175560e+01 2.24047573e+00
322 1.30959433e+01 -1.70175560e+01 2.65610109e+00
323 1.44036356e+01 -1.70175560e+01 3.15383677e+00
324 1.57113279e+01 -1.70175560e+01 3.70060941e+00
325 1.70190202e+01 -1.70175560e+01 4.27761240e+00
326 1.83267125e+01 -1.70175560e+01 4.87409940e+00
327 1.96344048e+01 -1.70175560e+01 5.48370440e+00
328 2.09420972e+01 -1.70175560e+01 6.10249099e+00
329 2.22497895e+01 -1.70175560e+01 6.72792249e+00
330 2.35574818e+01 -1.70175560e+01 7.35830241e+00
331 2.48651741e+01 -1.70175560e+01 7.99245849e+00
332 2.61728664e+01 -1.70175560e+01 8.62955732e+00
333 -2.54809798e+01 -1.58850613e+01 8.19310285e+00
334 -2.41732875e+01 -1.58850613e+01 7.55430743e+00
335 -2.28655952e+01 -1.58850613e+01 6.91832878e+00
336 -2.15579028e+01 -1.58850613e+01 6.28508691e+00
337 -2.02502105e+01 -1.58850613e+01 5.65193250e+00
338 -1.89425182e+01 -1.58850613e+01 5.01877809e+00
339 -1.76348259e+01 -1.58850613e+01 4.38562367e+00
340 -1.63271336e+01 -1.58850613e+01 3.75448146e+00
341 -1.50194413e+01 -1.58850613e+01 3.13254506e+00
342 -1.37117490e+01 -1.58850613e+01 2.52685758e+00
343 -1.24040567e+01 -1.58850613e+01 1.93813953e+00
344 -1.10963644e+01 -1.58850613e+01 1.34976347e+00
345 -9.78867208e+00 -1.58850613e+01 7.78367843e-01
346 -8.48097977e+00 -1.58850613e+01 2.23481827e-01
347 4.59594331e+00 -1.58850613e+01 2.99457231e-01
348 5.90363562e+00 -1.58850613e+01 8.69359524e-01
349 7.21132792e+00 -1.58850613e+01 1.43926786e+00
350 8.51902023e+00 -1.58850613e+01 1.37268731e+00
351 9.82671254e+00 -1.58850613e+01 1.33142793e+00
352 1.11344048e+01 -1.58850613e+01 1.58811800e+00
353 1.24420972e+01 -1.58850613e+01 2.03231813e+00
354 1.37497895e+01 -1.58850613e+01 2.56814668e+00
355 1.50574818e+01 -1.58850613e+01 3.14902658e+00
356 1.63651741e+01 -1.58850613e+01 3.75404739e+00
357 1.76728664e+01 -1.58850613e+01 4.37317813e+00
358 1.89805587e+01 -1.58850613e+01 5.00117076e+00
359 2.02882510e+01 -1.58850613e+01 5.63505798e+00
360 2.15959433e+01 -1.58850613e+01 6.27305027e+00
361 2.29036356e+01 -1.58850613e+01 6.91400967e+00
